strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;1;256;1024;2;1;2;0,180005;0,180005;;;;
cols;cols;1;256;1024;5;1;2;0,467382;0,467382;;;;
cols;cols;1;256;1024;10;1;2;0,897643;0,897643;;;;
cols;cols;1;512;32;1;1;2;0,0083473;0,0083473;;;;
cols;cols;1;512;32;2;1;2;0,0124569;0,0124569;;;;
cols;cols;1;512;32;5;1;2;0,0203578;0,0203578;;;;
cols;cols;1;512;32;10;1;2;0,0626767;0,0626767;;;;
cols;cols;1;512;64;1;1;2;0,0160861;0,0160861;;;;
cols;cols;1;512;64;2;1;2;0,0186665;0,0186665;;;;
cols;cols;1;512;64;5;1;2;0,0441222;0,0441222;;;;
cols;cols;1;512;64;10;1;2;0,0909979;0,0909979;;;;
cols;cols;1;512;256;1;1;2;0,0469757;0,0469757;;;;
cols;cols;1;512;256;2;1;2;0,0840681;0,0840681;;;;
cols;cols;1;512;256;5;1;2;0,215839;0,215839;;;;
cols;cols;1;512;256;10;1;2;0,426014;0,426014;;;;
cols;cols;1;512;512;1;1;2;0,142656;0,142656;;;;
cols;cols;1;512;512;2;1;2;0,180489;0,180489;;;;
cols;cols;1;512;512;5;1;2;0,461956;0,461956;;;;
cols;cols;1;512;512;10;1;2;0,91266;0,91266;;;;
cols;cols;1;512;1024;1;1;2;0,237428;0,237428;;;;
cols;cols;1;512;1024;2;1;2;0,373442;0,373442;;;;
cols;cols;1;512;1024;5;1;2;0,916623;0,916623;;;;
cols;cols;1;512;1024;10;1;2;1,81542;1,81542;;;;
cols;cols;1;1024;32;1;1;2;0,0082908;0,0082908;;;;
cols;cols;1;1024;32;2;1;2;0,0153856;0,0153856;;;;
cols;cols;1;1024;32;5;1;2;0,0429585;0,0429585;;;;
cols;cols;1;1024;32;10;1;2;0,08352;0,08352;;;;
cols;cols;1;1024;64;1;1;2;0,0180917;0,0180917;;;;
cols;cols;1;1024;64;2;1;2;0,053396;0,053396;;;;
cols;cols;1;1024;64;5;1;2;0,0864362;0,0864362;;;;
cols;cols;1;1024;64;10;1;2;0,156342;0,156342;;;;
cols;cols;1;1024;256;1;1;2;0,0854049;0,0854049;;;;
cols;cols;1;1024;256;2;1;2;0,164204;0,164204;;;;
cols;cols;1;1024;256;5;1;2;0,421842;0,421842;;;;
cols;cols;1;1024;256;10;1;2;0,828777;0,828777;;;;
cols;cols;1;1024;512;1;1;2;0,184611;0,184611;;;;
cols;cols;1;1024;512;2;1;2;0,365641;0,365641;;;;
cols;cols;1;1024;512;5;1;2;1,03495;1,03495;;;;
cols;cols;1;1024;512;10;1;2;1,6601;1,6601;;;;
cols;cols;1;1024;1024;1;1;2;0,372628;0,372628;;;;
cols;cols;1;1024;1024;2;1;2;0,755572;0,755572;;;;
cols;cols;1;1024;1024;5;1;2;1,85937;1,85937;;;;
cols;cols;1;1024;1024;10;1;2;3,72993;3,72993;;;;
cols;cols;2;32;32;1;1;2;0,0020941;0,0020941;;;;
cols;cols;2;32;32;2;1;2;0,0024662;0,0024662;;;;
cols;cols;2;32;32;5;1;2;0,0045769;0,0045769;;;;
