strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;1;256;64;1;2;0,0144852;0,0144852;;;;
cols;1;256;64;2;2;0,0281336;0,0281336;;;;
cols;1;256;64;5;2;0,0677363;0,0677363;;;;
cols;1;256;64;10;2;0,136144;0,136144;;;;
cols;1;256;256;1;2;0,072558;0,072558;;;;
cols;1;256;256;2;2;0,14757;0,14757;;;;
cols;1;256;256;5;2;0,365415;0,365415;;;;
cols;1;256;256;10;2;0,728846;0,728846;;;;
cols;1;256;512;1;2;0,149156;0,149156;;;;
cols;1;256;512;2;2;0,295807;0,295807;;;;
cols;1;256;512;5;2;0,724819;0,724819;;;;
cols;1;256;512;10;2;1,43821;1,43821;;;;
cols;1;256;1024;1;2;0,313084;0,313084;;;;
cols;1;256;1024;2;2;0,620764;0,620764;;;;
cols;1;256;1024;5;2;1,49869;1,49869;;;;
cols;1;256;1024;10;2;3,04824;3,04824;;;;
cols;1;512;32;1;2;0,0120192;0,0120192;;;;
cols;1;512;32;2;2;0,0239886;0,0239886;;;;
cols;1;512;32;5;2;0,0569362;0,0569362;;;;
cols;1;512;32;10;2;0,112443;0,112443;;;;
cols;1;512;64;1;2;0,0259281;0,0259281;;;;
cols;1;512;64;2;2;0,0512776;0,0512776;;;;
cols;1;512;64;5;2;0,126332;0,126332;;;;
cols;1;512;64;10;2;0,250797;0,250797;;;;
cols;1;512;256;1;2;0,126248;0,126248;;;;
cols;1;512;256;2;2;0,250728;0,250728;;;;
cols;1;512;256;5;2;0,61108;0,61108;;;;
cols;1;512;256;10;2;1,20012;1,20012;;;;
cols;1;512;512;1;2;0,290887;0,290887;;;;
cols;1;512;512;2;2;0,590651;0,590651;;;;
cols;1;512;512;5;2;1,45839;1,45839;;;;
cols;1;512;512;10;2;2,87919;2,87919;;;;
cols;1;512;1024;1;2;0,600791;0,600791;;;;
cols;1;512;1024;2;2;1,16875;1,16875;;;;
cols;1;512;1024;5;2;2,93019;2,93019;;;;
cols;1;512;1024;10;2;5,80714;5,80714;;;;
cols;1;1024;32;1;2;0,0199707;0,0199707;;;;
cols;1;1024;32;2;2;0,0388027;0,0388027;;;;
cols;1;1024;32;5;2;0,0970681;0,0970681;;;;
cols;1;1024;32;10;2;0,194455;0,194455;;;;
cols;1;1024;64;1;2;0,0469242;0,0469242;;;;
cols;1;1024;64;2;2;0,0928582;0,0928582;;;;
cols;1;1024;64;5;2;0,229598;0,229598;;;;
cols;1;1024;64;10;2;0,460416;0,460416;;;;
cols;1;1024;256;1;2;0,219749;0,219749;;;;
cols;1;1024;256;2;2;0,441991;0,441991;;;;
cols;1;1024;256;5;2;1,09548;1,09548;;;;
cols;1;1024;256;10;2;2,12697;2,12697;;;;
cols;1;1024;512;1;2;0,498265;0,498265;;;;
cols;1;1024;512;2;2;0,98146;0,98146;;;;
cols;1;1024;512;5;2;2,39745;2,39745;;;;
cols;1;1024;512;10;2;4,8319;4,8319;;;;
cols;1;1024;1024;1;2;1,16488;1,16488;;;;
cols;1;1024;1024;2;2;2,31674;2,31674;;;;
cols;1;1024;1024;5;2;5,76197;5,76197;;;;
cols;1;1024;1024;10;2;11,5261;11,5261;;;;
cols;2;32;32;1;2;0,0025146;0,0025083;0,0025146;;;
cols;2;32;32;2;2;0,004616;0,004616;0,0046092;;;
cols;2;32;32;5;2;0,0107376;0,010691;0,0107376;;;
cols;2;32;32;10;2;0,0213832;0,0213519;0,0213832;;;
cols;2;32;64;1;2;0,005032;0,0050215;0,005032;;;
cols;2;32;64;2;2;0,0092892;0,0092685;0,0092892;;;
cols;2;32;64;5;2;0,0232711;0,0232483;0,0232711;;;
cols;2;32;64;10;2;0,0457156;0,0455209;0,0457156;;;
cols;2;32;256;1;2;0,019621;0,0196094;0,019621;;;
cols;2;32;256;2;2;0,0377266;0,0376429;0,0377266;;;
cols;2;32;256;5;2;0,0946997;0,0946992;0,0946997;;;
cols;2;32;256;10;2;0,188138;0,187813;0,188138;;;
cols;2;32;512;1;2;0,0379041;0,0377924;0,0379041;;;
cols;2;32;512;2;2;0,0776161;0,0776161;0,0764381;;;
cols;2;32;512;5;2;0,188995;0,188783;0,188995;;;
cols;2;32;512;10;2;0,368889;0,368738;0,368889;;;
cols;2;32;1024;1;2;0,0792467;0,0792467;0,0767683;;;
cols;2;32;1024;2;2;0,15821;0,15821;0,150305;;;
cols;2;32;1024;5;2;0,366871;0,366784;0,366871;;;
cols;2;32;1024;10;2;0,732572;0,732572;0,731463;;;
cols;2;64;32;1;2;0,0041103;0,0041103;0,0041088;;;
cols;2;64;32;2;2;0,0078067;0,0078067;0,007806;;;
cols;2;64;32;5;2;0,0183196;0,0183163;0,0183196;;;
cols;2;64;32;10;2;0,0362159;0,0362159;0,0360212;;;
